Flight No.,FlightNumber,Date,Time,Launchoutcome,Outcome,BoosterVersion,Version Booster,Launch site,LaunchSite,Longitude,Latitude,Payload,PayloadMass,Orbit,Customer,Serial,Flights,GridFins,Reused,Legs,Block,ReusedCount,Booster landing,LandingPad
176,176,2022-07-24T00:00:00.000Z,00:00:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-25 (v1.5),13260.0,VLEO,SpaceX,B1062,,True,True,True,,,Success,A Shortfall of Gravitas
177,177,2022-08-04T23:08:00.000Z,23:08:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,KPLO,678.0,TLI,KARI,B1052,,True,True,True,,,Success,Just Read The Instructions
178,178,2022-08-09T22:57:00.000Z,22:57:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-26 (v1.5),13260.0,VLEO,SpaceX,B1073,,True,True,True,,,Success,A Shortfall of Gravitas
179,179,2022-08-12T21:30:00.000Z,21:30:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 3-3 (v1.5),13260.0,VLEO,SpaceX,B1061,,True,True,True,,,Success,Of Course I Still Love You
180,180,2022-08-19T19:24:00.000Z,19:24:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-27 (v1.5),13260.0,VLEO,SpaceX,B1062,,True,True,True,,,Success,A Shortfall of Gravitas
181,181,2022-08-28T02:22:00.000Z,02:22:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Starlink 4-23 (v1.5),13260.0,VLEO,SpaceX,B1069,,True,True,True,,,Success,A Shortfall of Gravitas
182,182,2022-08-31T05:40:00.000Z,05:40:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Starlink 3-4 (v1.5),13260.0,VLEO,SpaceX,B1063,,True,True,True,,,Success,Of Course I Still Love You
183,183,2022-09-05T02:09:00.000Z,02:09:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"Starlink 4-20 (v1.5), Varuna-TDM",13440.0,VLEO,"Boeing, SpaceX",B1052,,True,True,True,,,Success,Just Read The Instructions
184,184,2022-09-11T01:10:00.000Z,01:10:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,"Starlink 4-2 (v1.5), BlueWalker 3",14760.0,VLEO,"AST & Science, SpaceX",B1058,,True,True,True,,,Success,A Shortfall of Gravitas
185,185,2022-09-17T01:05:00.000Z,01:05:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-34 (v1.5),13260.0,VLEO,SpaceX,B1067,,True,True,True,,,Success,Just Read The Instructions
186,186,2022-09-24T23:30:00.000Z,23:30:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink 4-35 (v1.5),13260.0,VLEO,SpaceX,B1072,,True,True,True,,,Success,Just Read The Instructions
187,187,2022-10-05T16:00:00.000Z,16:00:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Crew-5,,ISS,NASA (CCtCap),B1077,,True,False,True,,,Success,Just Read The Instructions
